,Brand,Description,Reviews,Discount,Category,Rating,Links
0,Vaamsi,Crepe Printed Kurti(VPK1762_Green_Free Size),"3,957",Save ₹720 (72%),Kurtas,3.7569133010589164,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
1,OM SAI LATEST CREATION,Designer Slub Rayon Fully Stitched Anarkali Kurti for Women & Girls on Jeans Palazzo or Skirt (Plus Size Upto 2XL),"4,066","Save ₹1,620 (81%)",Kurtas,4.863797459607432,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
2,1 Stop Fashion,Women's Crepe Digital Print Straight Kurta,127,0,Kurtas,4.374030568581455,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
3,Generic,Women's Cotton A-Line Kurta,"2,396",Save ₹719 (65%),Kurtas,3.425022344004744,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
4,Amayra,Women's Cotton Printed Straight Kurti (White),76,0,Kurtas,4.520929344625908,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
5,SIRIL,Women's Rayon Foil Printed Kurta,"1,249","Save ₹1,844 (84%)",Kurtas,4.725292620974353,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
6,Vaamsi,Crepe Printed Kurti(VPK1797_Red_XXL),659,Save ₹720 (72%),Kurtas,4.323796266616316,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
7,GoSriKi,Women's Crepe Regular Kurta,"4,764","Save ₹3,620 (91%)",Kurtas,4.62762566680673,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
8,Amazon Brand - Myx,Women's Cotton Regular Short Kurti,"2,810",Save ₹323 (54%),Kurtas,4.589219640455024,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
9,Vaamsi,Crepe Digital Printed Kurti(VPK1529_White_Free Size),"13,293",Save ₹720 (72%),Kurtas,4.681522149368562,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
10,Vaamsi,Crepe Digital Printed Kurti(VPK1583_Yellow_L),"3,290",Save ₹720 (72%),Kurtas,3.3464691635803456,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
11,Amazon Brand - Myx,Women's Cotton Regular Kurti,"2,097",Save ₹237 (40%),Kurtas,4.353364295547413,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
12,Vaamsi,Crepe Printed Kurti(VPK1797_Red_4XL),349,Save ₹720 (72%),Kurtas,3.125494740139649,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
13,Vaamsi,Crepe Printed Kurti(VPK1797_Red_XL),822,Save ₹720 (72%),Kurtas,4.586312954961357,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
14,Vaamsi,Crepe Printed Kurti(VPK1773_Beige_Free Size),"1,416",Save ₹720 (72%),Kurtas,3.892458734168187,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
15,1 Stop Fashion,Women's Crepe Kurta,24,0,Kurtas,4.553027587313864,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
16,Vaamsi,Women's A-Line Kurta,"11,496",Save ₹720 (72%),Kurtas,4.783037267641818,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
17,1 Stop Fashion,Women's Multi-Coloured Crep Knee Long W Style Kurtas/Kurti (Pack of 2),4,0,Kurtas,3.4228340363943444,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
18,Vaamsi,Crepe Printed Kurti(VPK1767_Blue_Free Size),"1,590",Save ₹720 (72%),Kurtas,4.925986676009934,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
