0,Allen Solly,Men's Polo,"36,477",Save ₹370 (41%),Tshirts,4.436071423041531,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
1,Nike,Men's Regular Fit AS M NK DF SUPERSET TOP SS,1,"Save ₹1,093 (64%)",Tshirts,4.247369969129316,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
2,Jockey,Men's Regular Fit T-Shirt,"11,298",Save ₹178 (36%),Tshirts,3.990663157622684,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
3,ADRO,Men's Regular Fit T-Shirt,"1,634","Save ₹1,300 (72%)",Tshirts,4.5908583388542095,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
4,Van Heusen,Men's Solid Regular Fit Polo,"16,831",Save ₹370 (41%),Tshirts,3.510707803643867,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
5,ARROW USA 1851,Men's Regular Polo Shirt,833,Save ₹712 (71%),Tshirts,3.268239010767683,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
6,CHKOKKO,Winter Wear Cotton Plain Full Sleeve Turtle Neck T Shirt for Men,"2,331","Save ₹2,226 (81%)",Tshirts,3.755913060413497,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
7,Allen Solly,Men's Regular Fit T-Shirt,"1,143",Save ₹260 (37%),Tshirts,4.463739786813257,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
8,AMERICAN CREW,Men's Cotton Poly Blend Polo Regular Fit T-Shirt,890,Save ₹900 (60%),Tshirts,4.144822381898168,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
9,Max,Men's Slim Polo,"6,181",Save ₹80 (18%),Tshirts,4.178607935096393,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
10,Van Heusen Athleisure,Men's Regular fit T-Shirt,"2,174","2,174",Tshirts,3.2666236654430714,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
11,US Polo Association,U.S. Polo Assn. Men's Regular fit T-Shirt,"4,427",Save ₹30 (5%),Tshirts,3.936460784451402,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
12,Levi's,Levi’s Men’s Ultra-Soft Cotton 300 LS Classic Round Neck T-Shirts (Pack of 1),780,Save ₹220 (44%),Tshirts,3.376716190165603,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
13,Allen Solly,Men's Plain Regular Fit Polo,"1,252",Save ₹560 (49%),Tshirts,3.8499804606860333,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
14,Urbano Fashion,"Men's Black, Yellow, Grey Round Neck Full Sleeve Cotton T-Shirt","1,058",Save ₹710 (71%),Tshirts,3.0160685636111366,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
15,AMERICAN CREW,Men's Regular Fit Polos,"5,503",Save ₹950 (63%),Tshirts,3.361371561844753,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
16,AELOMART,"Men's Cotton Full Sleeve T Shirt-(Amt1125-N,Olive)","2,735","Save ₹1,024 (68%)",Tshirts,4.225532945433375,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
17,US Polo Association,Heathered V-Neck T-Shirt,831,Save ₹129 (23%),Tshirts,4.476097168056837,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
18,AMERICAN CREW,Men's Cotton Poly Blend Polo Regular Fit T-Shirt,"2,861",Save ₹939 (63%),Tshirts,3.769152252124592,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
19,US Polo Association,Men's Regular fit T-Shirt,"1,715",Save ₹48 (10%),Tshirts,4.572421259595959,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
20,Allen Solly,Men's Regular Fit Polo,899,Save ₹540 (45%),Tshirts,3.820561043324242,https://m.media-amazon.com/images/I/71mh0OLZSmL._AC_UL320_.jpg
