,name,rating,no_of_reviews,img_links
0,JUGULAR Men's Half Sleeves Round-Neck Casual T-Shirts,3 out of 5,2 ratings,https://images-na.ssl-images-amazon.com/images/I/71R2xZ6Ky9L._UY550_.jpg
1,Elements by Peter England Men's Regular fit T-Shirt,5 out of 5,1 rating,https://images-na.ssl-images-amazon.com/images/I/81PUc2XS0dL._UY550_.jpg
2,Elements by Peter England Men's T-Shirt,3.8 out of 5,101 ratings,https://images-na.ssl-images-amazon.com/images/I/81iLzB3ar%2BL._UY550_.jpg
3,PrintOctopus Graphic Printed T-Shirt for Men | Sarcastic Comment Loading T-Shirt | Half Sleeve T-Shirt for Women | Round Neck T Shirt | 100% Cotton T-Shirt | Casual Tshirt | Funny T-Shirt,4.4 out of 5,44 ratings,https://images-na.ssl-images-amazon.com/images/I/61xTNPaDHCL._UY550_.jpg
4,Scott International Men's Regular Fit T-Shirt (Pack of 3),3.4 out of 5,815 ratings,https://images-na.ssl-images-amazon.com/images/I/71vp8Lec9JL._UX466_.jpg
5,Chromozome Men's Plain Regular Fit T-Shirt (Pack Of 3),4 out of 5,"4,044 ratings",https://images-na.ssl-images-amazon.com/images/I/81RmZgxA8cL._UX679_.jpg
6,EYEBOGLER Regular Fit Men's Poly Cotton Tshirt,3.6 out of 5,939 ratings,https://images-na.ssl-images-amazon.com/images/I/61IpAurpNXL._UX466_.jpg
7,Jack & Jones Men's Slim fit T-Shirt,5 out of 5,2 ratings,https://images-na.ssl-images-amazon.com/images/I/51YjfqXLogL._UY550_.jpg
8,BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt - Combo Tshirt - Pack of 3,3.6 out of 5,83 ratings,https://images-na.ssl-images-amazon.com/images/I/618COfjhmZL._UX522_.jpg
9,BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt - Combo Tshirt - Pack of 3,3.2 out of 5,24 ratings,https://images-na.ssl-images-amazon.com/images/I/610EJ6fVJTL._UX522_.jpg
10,AWG - All Weather Gear Men's Solid Regular fit T-Shirt,3.4 out of 5,"1,009 ratings",https://images-na.ssl-images-amazon.com/images/I/717kGHcO66L._UX466_.jpg
11,US Polo Association Athleisure Men's Solid Regular Fit T-Shirt (I633-195-PL_Navy_Medium),,122 ratings,https://images-na.ssl-images-amazon.com/images/I/81-WTP9WOEL._UY550_.jpg
12,Maniac Men's Slim Fit T-Shirt,3.7 out of 5,228 ratings,https://images-na.ssl-images-amazon.com/images/I/718XqtJBcrL._UY550_.jpg
