gender,category,image,brand,description,price,discount,url,rating,reviews
M,men-tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9793513/2019/6/15/79e8a0aa-18f1-4752-98db-82968506e0491560580186960-Roadster-Men-White-Solid-Round-Neck-T-shirt-3471560580186273-1.jpg",DILLINGER,Striped Round Neck T-shirt,Rs. 491,(59% OFF),https://www.myntra.com/tshirts/dillinger/dillinger-men-navy-blue--red-striped-round-neck-t-shirt/11067734/buy,,
M,men-tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10016983/2019/6/20/b5caaca7-b5e8-4134-9283-65473a2388031561026348090-Campus-Sutra-Men-Blue-Colourblocked-Round-Neck-T-shirt-99915-1.jpg",Roadster,Solid Round Neck T-shirt,Rs. 249,(50% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-white-solid-round-neck-t-shirt/9793513/buy,4.3,5.3k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7546900/2019/1/24/c9be0d6e-30a4-4242-b4e0-1c166b73f2781548320874402-HERENOW-Men-Polo-Collar-T-shirt-4861548320873235-1.jpg",Campus Sutra,Colourblocked Round Neck T-shirt,Rs. 360,(62% OFF),https://www.myntra.com/tshirts/campus-sutra/campus-sutra-men-blue-colourblocked-round-neck-t-shirt/10016983/buy,4.1,7.3k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2275352/2018/2/24/11519444618271-Roadster-Men-Black-Solid-Round-Neck-T-shirt-1771519444618074-1.jpg",HERE&NOW,Solid Polo Collar T-shirt,Rs. 599,(Rs. 650 OFF),https://www.myntra.com/tshirts/herenow/herenow-men-navy-polo-collar-t-shirt/7546900/buy,3.7,12.2k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11370212/2020/2/10/5e49db5e-430d-4952-bbad-fd2bb433e74f1581339840465-Calvin-Klein-Jeans-Men-Tshirts-2851581339838789-1.jpg",Roadster,Solid Round Neck T-shirt,Rs. 239,(60% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-round-neck-t-shirt/2275352/buy,4.1,5.4k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12377258/2020/9/11/ce1b7bcb-a65a-4eb0-a317-42ac02718f1e1599798741705UrbanoFashionPrintedMenRoundNeckDarkGreenT-Shirt1.jpg",Calvin Klein Jeans,Printed Slim Fit T-shirt,Rs. 1429,(45% OFF),https://www.myntra.com/tshirts/calvin-klein-jeans/calvin-klein-jeans-men-white-printed-slim-fit-round-neck-t-shirt/11370212/buy,3.7,8.7k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12014494/2020/8/5/bdba17f3-522e-4110-b915-484fcab1313e1596617595021-Moda-Rapido-Men-Tshirts-4571596617593343-1.jpg",Urbano Fashion,Slim Tropical Printed T-shirt,Rs. 450,(59% OFF),https://www.myntra.com/tshirts/urbano-fashion/urbano-fashion-men-teal-green-slim-fit-tropical-printed-round-neck-t-shirt/12377258/buy,4.4,11 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10424682/2019/10/30/a034179e-9db3-4a3a-bce0-abae4d1413531572419249956-Roadster-Men-Tshirts-2571572419248675-1.jpg",Moda Rapido,Printed Round Neck T-shirt,Rs. 419,(65% OFF),https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-charcoal-printed-round-neck-t-shirt/12014494/buy,4.1,987 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg",Roadster,Striped Round Neck T-shirt,Rs. 439,(45% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-navy-blue--maroon-striped-round-neck-t-shirt/10424682/buy,3.9,541 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10424682/2019/10/30/a034179e-9db3-4a3a-bce0-abae4d1413531572419249956-Roadster-Men-Tshirts-2571572419248675-1.jpg",Huetrap,Printed Round Neck T-shirt,Rs. 384,(65% OFF),https://www.myntra.com/tshirts/huetrap/huetrap-men-beige--black-printed-round-neck-t-shirt/11148764/buy,4.1,1.6k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg",Difference of Opinion,Solid Round Neck T-shirt,Rs. 499,(60% OFF),https://www.myntra.com/tshirts/difference-of-opinion/difference-of-opinion-men-sea-green-solid-round-neck-t-shirt/11077774/buy,4,5.1k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11077774/2019/12/24/29bdd2c8-3e2f-43aa-8ce5-55f3a501a4fa1577166621272-Difference-of-Opinion-Men-Sea-Green-Solid-Round-Neck-T-shirt-1.jpg",Roadster,Men Striped Polo T-shirt,Rs. 599,(Rs. 600 OFF),https://www.myntra.com/tshirts/roadster/roadster-men-black--grey-striped-polo-collar-t-shirt/9973475/buy,4.4,9.3k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9973475/2019/8/6/20977e34-0193-474c-9988-bf7ef1168c521565086967736-Roadster-Men-Tshirts-2281565086966036-1.jpg",Nautica,Men Polo Collar T-shirt,Rs. 2099,(30% OFF),https://www.myntra.com/tshirts/nautica/nautica-men-olive-green-self-designed-polo-collar-regular-fit-casual-t-shirt/15339558/buy,4.2,1.2k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15339558/2021/10/13/78c140b2-1e8e-49ba-8e88-a549da2b9cd31634118392837-Nautica-Men-Tshirts-701634118392267-1.jpg",HRX by Hrithik Roshan,Rapid Dry Training T-shirt,Rs. 599,(Rs. 500 OFF),https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-white-rapid-dry-camo-training-t-shirt/5842076/buy,4,8 Verified Buyers
