gender,category,image,brand,description,price,rating,reviews
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13791608/2021/3/26/c5c0816a-e198-4898-a5ed-0fce77cf6a8c1616739117521-Anouk-Women-Peach-Coloured-Embroidered-Kurta-with-Palazzos-8-1.jpg",Anouk,Embroidered Kurta with Palazzos,Rs. 1154,4.8,842
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2110558/2018/4/13/11523617167748-Vishudh-Women-Black--Gold-Toned-Printed-Straight-Kurta-9041523617167566-1.jpg",Vishudh,Printed Straight Kurta,Rs. 482,4.6,8333
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12974304/2021/8/10/c80ae140-f9e7-4666-821b-87db35a8c2451628559627141-GoSriKi-Women-Red--Golden-Printed-Kurta-with-Trousers--Dupat-1.jpg",GoSriKi,Printed Kurta with Trousers & Dupatta,Rs. 965,3.9,9079
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/5/29/74fdcee4-a8b0-4b36-b563-a079d5ca99391622263128893-1.jpg",Libas,Women Kurti with Trousers With Dupatta,Rs. 1319,3.4,623
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13791594/2021/3/22/befc45f5-b214-4ff4-8138-fb911f6bc2af1616412038099-Anouk-Women-Kurta-Sets-8481616412037272-1.jpg",Anouk,Printed Kurta with Palazzos,Rs. 989,3.3,10808
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14912660/2021/8/5/baa85130-b0c9-469c-b04f-25b1721d5d1b1628163734565-Kvsfab-Women-Kurta-Sets-7941628163733796-1.jpg",Kvsfab,Women Kurta with Trousers With Dupatta,Rs. 1598,3.6,7247
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11056154/2019/12/5/30b0017d-7e72-4d40-9633-ef78d01719741575541717470-AHIKA-Women-Black--Green-Printed-Straight-Kurta-990157554171-1.jpg",AHIKA,Printed Straight Kurta,Rs. 553,3.5,9240
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9438657/2019/5/8/5f44fbff-658c-40f2-ae17-4ae52b7381e31557297223910-AASI---HOUSE-OF-NAYO-Women-Black--Mustard-Solid-Kurta-with-T-1.jpg",AASI - HOUSE OF NAYO,Women Solid Kurta with Trousers & Dupatta,Rs. 1259,3.9,11269
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14402016/2021/7/17/cacab197-b39c-4c53-acde-4c9e6bc7eefb1626504151166-Fabindia-Women-Kurtas-4281626504150619-1.jpg",Fabindia,Women Checked Cotton Kurta,,3.9,11489
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13169116/2021/9/1/f4743cd0-265e-4f57-8273-a5abb52501751630500433313-Libas-Women-Green-Pure-Cotton-Kurta-with-Palazzos--With-Dupa-1.jpg",Libas,Women Kurta with Palazzos With Dupatta,Rs. 1379,3.8,501
F,women-kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13902678/2021/4/6/a5dfcb9a-af2a-4ed8-98bf-e10a8b3b5a891617704827106-Anouk-Women-Kurta-Sets-911617704825967-1.jpg",Anouk,Yoke Design Kurta with Trousers & Dupatta,Rs. 1249,3.3,12012
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/1/20/13123384-5f71-42f6-8b80-e16fa9cdf2ae1611144217441-1.jpg",Vishudh,Women Printed Tunic,Rs. 406,3.5,5873
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12135338/2020/8/26/55ea1acb-0c7e-488e-935c-2d409625dc0a1598441259616-Anouk-Women-Tops-5571598441256852-1.jpg",Anouk,Printed Bell Sleeved Pure Cotton Top,Rs. 499,4.8,3363
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8860565/2019/6/10/45666f6f-e10e-45be-b34a-7eb5c3d23d351560159154668-Shirt-Collar-Short-Sleeve-Tie-Dye-Printed-Top-94815601591537-1.jpg",Sangria,Tie-Dye Blouson Top,Rs. 1299,4.1,5287
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11536922/2020/2/26/1697bdb1-51a3-4241-b0b6-3d56e16a5d4c1582712767476-Sangria-Women-Tops-3581582712765534-1.jpg",Sangria,Printed Shirt Style Pure Cotton Top,,4.3,3564
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/2/18/7b5407c6-a21a-4f50-97e2-ca69852707dc1613628907088-1.jpg",Tissu,Women Floral Printed Straight Kurti,Rs. 599,4.3,10112
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12015568/2020/8/7/9a9cbafc-1d1d-4ad4-b92f-b5528dbba4f11596780857661-Womens-Cotton-Floral-Print-Regular-Wear-Top-Maroon-614159678-1.jpg",kipek,Floral Tie-Up Sleeve Pure Cotton Top,Rs. 674,4.8,5334
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7503525/2018/9/28/67290b5b-9d5b-42ae-8d85-c64fef59c0511538123084114-na-9921538123083854-1.jpg",INDYA,Sequinned Crop Top,Rs. 800,5.0,6975
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/2/13/424aeb8c-402f-4403-9e43-da5840f460471581546881206-1.jpg",INDYA,Top with Attached Dupatta,Rs. 850,4.7,1042
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13619468/2021/2/26/d45a3880-ded7-4569-a19b-63e31418fbbb1614338490617-Janasya-Women-Tops-7481614338488572-1.jpg",Janasya,Floral Printed Regular Top,Rs. 599,4.6,4740
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10453156/2021/6/22/98b93a19-6273-4ffc-a069-178b7820e0951624350225428-Biba-Women-Dresses-4081624350224802-1.jpg",Biba,Ethnic Motifs Embroidered Kurti,Rs. 849,4.6,5112
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8349547/2019/2/27/d422e4aa-413a-4bbe-990c-e145d799fdb91551265779392-Band-Collar-Elbow-Sleeve-Printed-Top-With-Gold-Button-Detail-1.jpg",Sangria,Printed A-Line Flared Pure Cotton Top,Rs. 1044,3.8,11713
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13791608/2021/3/26/c5c0816a-e198-4898-a5ed-0fce77cf6a8c1616739117521-Anouk-Women-Peach-Coloured-Embroidered-Kurta-with-Palazzos-8-1.jpg",Anouk,Embroidered Kurta with Palazzos,Rs. 1154,3.9,12469
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2110558/2018/4/13/11523617167748-Vishudh-Women-Black--Gold-Toned-Printed-Straight-Kurta-9041523617167566-1.jpg",Vishudh,Printed Straight Kurta,Rs. 482,4.2,11340
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12974304/2021/8/10/c80ae140-f9e7-4666-821b-87db35a8c2451628559627141-GoSriKi-Women-Red--Golden-Printed-Kurta-with-Trousers--Dupat-1.jpg",GoSriKi,Printed Kurta with Trousers & Dupatta,Rs. 965,3.1,821
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13791594/2021/3/22/befc45f5-b214-4ff4-8138-fb911f6bc2af1616412038099-Anouk-Women-Kurta-Sets-8481616412037272-1.jpg",Anouk,Printed Kurta with Palazzos,Rs. 989,3.2,6161
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14912660/2021/8/5/baa85130-b0c9-469c-b04f-25b1721d5d1b1628163734565-Kvsfab-Women-Kurta-Sets-7941628163733796-1.jpg",Kvsfab,Women Kurta with Trousers With Dupatta,Rs. 1598,3.3,2420
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11056154/2019/12/5/30b0017d-7e72-4d40-9633-ef78d01719741575541717470-AHIKA-Women-Black--Green-Printed-Straight-Kurta-990157554171-1.jpg",AHIKA,Printed Straight Kurta,Rs. 553,5.0,3132
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13892320/2021/4/3/58cc7712-541e-40b6-a04a-02e443a60a4e1617433069926TopsFabindiaWomenKurtasFabindiaWomenKurtasFabindiaWomenKurta1.jpg",Fabindia,Pure Cotton Print Kurta,,3.0,601
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13169116/2021/9/1/f4743cd0-265e-4f57-8273-a5abb52501751630500433313-Libas-Women-Green-Pure-Cotton-Kurta-with-Palazzos--With-Dupa-1.jpg",Libas,Women Kurta with Palazzos With Dupatta,Rs. 1379,4.7,8843
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13902678/2021/4/6/a5dfcb9a-af2a-4ed8-98bf-e10a8b3b5a891617704827106-Anouk-Women-Kurta-Sets-911617704825967-1.jpg",Anouk,Yoke Design Kurta with Trousers & Dupatta,Rs. 1249,4.2,1408
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10942370/2019/11/19/3cfdd561-ad23-4ee4-8187-de635252a15e1574150056042-Anubhutee-Women-Navy-Blue--Off-White-Yoke-Design-Kurta-with--1.jpg",Anubhutee,Ethnic Embroidered Kurta Set,Rs. 813,3.5,4476
F,women-ethnic-wear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15033334/2021/8/5/7c538faf-6234-4045-9fb2-3661f26eb4521628139232575ZOLAWomenMaroonThreadWorkGeorgetteKurta1.jpg",ZOLA,Women Embroidered Kurta,Rs. 2142,4.4,6429
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7393506/2020/10/10/9a490a45-d7fb-4f17-a7f8-df2e6c40b0881602269372163TaaviWomenBlackMaroonKalamkariHandBlockPrintEthnicSustainabl1.jpg",Taavi,Kalamkari Print Ethnic Sustainable Pure Cotton Skirt,Rs. 949,4.1,1531
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10529224/2019/9/9/ea0d16ea-4e51-4d59-94e0-941d8ff4c6a31568030027823-Juniper-Gold-Rayon-Printed-Flared-Palazzo-5511568030025933-1.jpg",Juniper,Women Flared Printed Palazzos,Rs. 798,4.4,9671
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/8/22/be9d5664-5467-475b-b4ea-470a5d64a5481598047122543-1.jpg",TAG 7,Women Pack Of 2 Solid Ankle-Length Straight-Fit Leggings,Rs. 924,4.6,10887
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/27/97df7e85-dc14-497b-b5ec-d4a459d8416e1577398773321-1.jpg",TAG 7,Women Straight Solid Palazzos,Rs. 467,3.4,7240
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11478398/2020/2/17/701ec930-9dd5-4209-b6a7-8c9faaee2feb1581941218497-Juniper-Offwhite-Rayon-Flex-Solid-Wide-Leg-Palazzo-503158194-1.jpg",Juniper,Straight Solid Palazzos,Rs. 786,3.5,1223
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2703311/2018/3/14/11521024984485-Go-Colors--Leggings-8751521024984355-1.jpg",Go Colors,Women Ankle-Length Leggings,,3.1,8576
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13424734/2021/1/19/bb4c8d08-9039-4694-8eeb-8b1f824e32ef1611058104672-Laado---Pamper-Yourself-Women-Salwar-1631611058102979-1.jpg",Laado - Pamper Yourself,Women Solid Afghan Salwar,Rs. 699,5.0,2488
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/4/30/c397d724-d0a4-465e-a98d-9e34a42afba31619803043026-1.jpg",Globus,Women Striped Printed Flared Maxi Skirt,,3.9,655
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10614672/2019/9/21/cd768f4d-5fd0-489a-8fbf-dbf45adc62ef1569068532960-Juniper-Off-white-Rayon-Printed-Flared-Palazzo-5561569068531-1.jpg",Juniper,Women Flared Printed Palazzos,Rs. 798,3.1,12140
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11349946/2020/1/21/42526435-d493-441b-9cd1-c5372a3bd5d81579608285831-Shae-by-SASSAFRAS-Women-Grey-Straight-Fit-Solid-Regular-Trou-1.jpg",Shae by SASSAFRAS,Women Straight Fit Regular Trousers,Rs. 516,3.2,718
F,women-ethnic-bottomwear,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13983880/2021/4/9/2a8cecf2-d5a1-40fe-b3fd-22577d0e00681617955042216BelleFilleWomenOff-WhitePeach-ColouredStripedBasicJumpsuitSk1.jpg",Studio Shringaar,Women Floral Lehenga Skirt,Rs. 1440,3.8,8622
F,skirts-palazzos,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7393506/2020/10/10/9a490a45-d7fb-4f17-a7f8-df2e6c40b0881602269372163TaaviWomenBlackMaroonKalamkariHandBlockPrintEthnicSustainabl1.jpg",Taavi,Kalamkari Print Ethnic Sustainable Pure Cotton Skirt,Rs. 949,3.6,3679
F,skirts-palazzos,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10529224/2019/9/9/ea0d16ea-4e51-4d59-94e0-941d8ff4c6a31568030027823-Juniper-Gold-Rayon-Printed-Flared-Palazzo-5511568030025933-1.jpg",Juniper,Women Flared Printed Palazzos,Rs. 798,3.2,2274
F,skirts-palazzos,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/27/97df7e85-dc14-497b-b5ec-d4a459d8416e1577398773321-1.jpg",TAG 7,Women Straight Solid Palazzos,Rs. 467,3.7,6923
F,skirts-palazzos,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11478398/2020/2/17/701ec930-9dd5-4209-b6a7-8c9faaee2feb1581941218497-Juniper-Offwhite-Rayon-Flex-Solid-Wide-Leg-Palazzo-503158194-1.jpg",Juniper,Straight Solid Palazzos,Rs. 786,3.2,12278
