gender,category,image,brand,description,price,discount,url,rating,reviews
F,kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10356511/2019/8/8/a28f9ccb-c0d7-4e66-87f0-e639f157ff2d1565263388836-Libas-Women-Kurta-Sets-571565263387250-1.jpg",Nayo,Printed Kurta with Trousers & Dupatta,Rs. 1479,(Rs. 2220 OFF),,4.3,2.8k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2322979/2018/2/13/11518506064968-Anouk-Women-Peach-Coloured-Printed-Straight-Kurta-6851518506064751-1.jpg",Libas,Ethnic Print Kurta Set,Rs. 1319,(Rs. 1080 OFF),https://www.myntra.com/kurta-sets/libas/libas-women-beige-ethnic-print-straight-kurta-set-with-side-pockets/10356511/buy,,
F,kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13515828/2021/3/9/3c9ae2a6-d702-460e-8112-fe9327794a891615295030445IndoEraNavyBlueSolidStraightKurtaTrouserWithDupattaSets1.jpg",Anouk,Printed Straight Kurta,Rs. 1079,(Rs. 720 OFF),https://www.myntra.com/kurtas/anouk/anouk-women-pink-printed-straight-kurta/2322979/buy,4.1,11.9k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10942370/2019/11/19/3cfdd561-ad23-4ee4-8187-de635252a15e1574150056042-Anubhutee-Women-Navy-Blue--Off-White-Yoke-Design-Kurta-with--1.jpg",Indo Era,Printed Kurta with Trousers & Dupatta,Rs. 1559,(Rs. 2440 OFF),https://www.myntra.com/kurta-sets/indo-era/indo-era-women-navy-blue-printed-kurta-with-trousers--dupatta/13515828/buy,3.9,14.2k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/10/14/138821d7-96e5-4972-9c09-6bbe7026828e1602633543475-1.jpg",Anubhutee,Ethnic Embroidered Kurta Set,Rs. 989,(Rs. 1210 OFF),https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-navy-blue-paisley-floral-embroidery-kurta-set/10942370/buy,4.3,4.9k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11056866/2019/12/9/67a0d919-cbca-4d89-a8f1-6a25c9e9305c1575891613300-Round-NeckWith--34th-Sleeve-Straight-Floral-print-Crepe-Kurt-1.jpg",GERUA,Printed Kurta with Palazzos & Dupatta,Rs. 1649,(Rs. 1350 OFF),https://www.myntra.com/kurta-sets/gerua/gerua-women-peach-coloured--off-white-printed-kurta-with-palazzos--dupatta/12746042/buy,4.4,17.4k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10356859/2019/8/8/b783aef9-c902-462e-af73-de159bfd011c1565256752191-Libas-Women-Kurta-Sets-2081565256750830-1.jpg",ZIYAA,Floral Leafy Foil Kurta Set,Rs. 863,(Rs. 1605 OFF),https://www.myntra.com/kurta-sets/ziyaa/ziyaa-floral-leafy-foil-print-kurta-set/11056866/buy,4.3,2.6k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10941776/2019/11/19/2fbc5620-1157-42b0-81e8-718f590cd0bb1574139593329-Anubhutee-Women-Kurtas-6991574139591546-1.jpg",Libas,Floral Cotton Kurta Set,Rs. 1249,(Rs. 1250 OFF),https://www.myntra.com/kurta-sets/libas/libas-floral-bliss-side-pocket-cotton-kurta-set/10356859/buy,3.5,12.2k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13027852/2020/12/18/e5740785-849e-4cbd-8d3b-78d38d9abd4d1608288067857YurisBlackWhitePrintedKurtaWithPalazooDupatta1.jpg",Anubhutee,Printed Straight Kurta,Rs. 558,(Rs. 741 OFF),https://www.myntra.com/kurtas/anubhutee/anubhutee-women-pink--golden-printed-straight-kurta/10941776/buy,4,8.9k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14707840/2021/9/14/8a0d1e1d-16cc-4729-917f-e1c249eb9de31631622209446-HERENOW-Women-Kurtas-7621631622208823-1.jpg",Yuris,Kurta with Trousers & Dupatta,Rs. 1375,(Rs. 2924 OFF),https://www.myntra.com/kurta-sets/yuris/yuris-women-black--white-pure-cotton-printed-kurta-with-trousers--dupatta/13027852/buy,4.2,5.2k Verified Buyers
