,Brand,Description,Reviews,Discount,Category,Rating,Links
0,Van Heusen,Men's Solid Regular Fit Polo,"15,454",Save ₹360 (40%),Tshirts,3.3412848239106188,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
1,Jockey,Men's Regular Fit T-Shirt,"10,810",Save ₹138 (30%),Tshirts,3.678680587653864,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
2,Allen Solly,Men's Polo,"34,702",Save ₹320 (36%),Tshirts,4.330449377872413,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
3,US Polo Association,Men's Regular fit T-Shirt,"4,121",Save ₹90 (14%),Tshirts,3.731780814991803,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
4,AELOMART,"Men's Cotton Full Sleeve T Shirt-(Amt1125-N,Olive)","2,491","Save ₹1,010 (67%)",Tshirts,4.7781571379636025,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
5,Allen Solly,Men's Regular Fit Polo,735,Save ₹510 (43%),Tshirts,4.036222875684903,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
6,Jockey,Men's Cotton T-Shirt,"6,564","6,564",Tshirts,3.6256272404769807,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
7,Allen Solly,Men's Plain Regular Fit Polo,"1,060",Save ₹460 (40%),Tshirts,4.65508058694476,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
8,Van Heusen Athleisure,Men's Solid Regular fit T-Shirt,"1,443",Save ₹30 (5%),Tshirts,3.2884621546182515,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
9,Jockey,Men's Tank Top,"5,674",Save ₹20 (4%),Tshirts,4.092633095907704,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
10,Max,Men's Slim Polo,"5,704",Save ₹45 (10%),Tshirts,3.0127115775534374,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
11,Jockey,Mens Short Sleeves V Neck Slim Fit Solid T-Shirt,"2,611",0,Tshirts,4.926055705322129,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
12,US Polo Association,Men's Regular T-Shirt,44,Save ₹676 (52%),Tshirts,4.2234633268936115,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
13,Jockey,Men's Cotton T-Shirt,"7,454","7,454",Tshirts,3.039526428712226,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
14,Red Tape,Men's Solid Regular Fit Polo,17,"Save ₹1,680 (88%)",Tshirts,3.87871625125924,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
15,Ontarious Look,Men's High and Turtle Neck Cotton T-Shirt,578,Save ₹300 (30%),Tshirts,3.973955491466131,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
16,Van Heusen Athleisure,Men's Solid Regular Fit Polo,"1,295",Save ₹99 (10%),Tshirts,4.637373002390982,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
