,Brand,Description,Reviews,Discount,Category,Rating,Links,Product URL,Price
0,Allen Solly,Men's Polo,"36,633",Save ₹360 (40%),Tshirts,3.134548173722661,https://m.media-amazon.com/images/I/61aJ8ylbEYL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727042_AMKP317G04237_Green_Large/dp/B06Y2BZJN6/ref=sr_1_1?pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7ad3f8fa-3670-4f37-8514-6e5bf1c9ad3e&pf_rd_r=E6PP7PBNCKCV9PKR323W&pf_rd_s=merchandised-search-3&qid=1636354929&qsid=257-0103414-9138774&refinements=p_85%3A10440599031%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1&sres=B06Y2BZJN6%2CB082G3S7GC%2CB012STPJMY%2CB09H7JP1HV%2CB079W561LM%2CB07MFVD3LJ%2CB076CHSL6P%2CB09CNL3HZR%2CB07RB1BZW8%2CB07CXXHLY2%2CB08353R4CD%2CB08KFPNF79%2CB07M7N3TPK%2CB08NXHW761%2CB00W062CB2%2CB07CQN23VG%2CB07DDL7DNS%2CB08Z78PMJY%2CB01J3VFCWM%2CB09G72R3LF,539
1,AELOMART,"Men's Cotton Full Sleeve T Shirt-(Amt1125-N,Olive)","2,748","Save ₹1,014 (68%)",Tshirts,4.637674594408804,https://m.media-amazon.com/images/I/61aJ8ylbEYL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727042_AMKP317G04237_Green_Large/dp/B06Y2BZJN6/ref=sr_1_1?pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7ad3f8fa-3670-4f37-8514-6e5bf1c9ad3e&pf_rd_r=E6PP7PBNCKCV9PKR323W&pf_rd_s=merchandised-search-3&qid=1636354929&qsid=257-0103414-9138774&refinements=p_85%3A10440599031%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1&sres=B06Y2BZJN6%2CB082G3S7GC%2CB012STPJMY%2CB09H7JP1HV%2CB079W561LM%2CB07MFVD3LJ%2CB076CHSL6P%2CB09CNL3HZR%2CB07RB1BZW8%2CB07CXXHLY2%2CB08353R4CD%2CB08KFPNF79%2CB07M7N3TPK%2CB08NXHW761%2CB00W062CB2%2CB07CQN23VG%2CB07DDL7DNS%2CB08Z78PMJY%2CB01J3VFCWM%2CB09G72R3LF,539
2,Jockey,Men's Regular Fit T-Shirt,"11,351",Save ₹15 (3%),Tshirts,4.114505961962598,https://m.media-amazon.com/images/I/61aJ8ylbEYL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727042_AMKP317G04237_Green_Large/dp/B06Y2BZJN6/ref=sr_1_1?pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7ad3f8fa-3670-4f37-8514-6e5bf1c9ad3e&pf_rd_r=E6PP7PBNCKCV9PKR323W&pf_rd_s=merchandised-search-3&qid=1636354929&qsid=257-0103414-9138774&refinements=p_85%3A10440599031%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1&sres=B06Y2BZJN6%2CB082G3S7GC%2CB012STPJMY%2CB09H7JP1HV%2CB079W561LM%2CB07MFVD3LJ%2CB076CHSL6P%2CB09CNL3HZR%2CB07RB1BZW8%2CB07CXXHLY2%2CB08353R4CD%2CB08KFPNF79%2CB07M7N3TPK%2CB08NXHW761%2CB00W062CB2%2CB07CQN23VG%2CB07DDL7DNS%2CB08Z78PMJY%2CB01J3VFCWM%2CB09G72R3LF,539
3,London Hills,Printed Men Round Neck Full Sleeve T-Shirt,8,Save ₹900 (69%),Tshirts,4.006455315091447,https://m.media-amazon.com/images/I/61aJ8ylbEYL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727042_AMKP317G04237_Green_Large/dp/B06Y2BZJN6/ref=sr_1_1?pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7ad3f8fa-3670-4f37-8514-6e5bf1c9ad3e&pf_rd_r=E6PP7PBNCKCV9PKR323W&pf_rd_s=merchandised-search-3&qid=1636354929&qsid=257-0103414-9138774&refinements=p_85%3A10440599031%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1&sres=B06Y2BZJN6%2CB082G3S7GC%2CB012STPJMY%2CB09H7JP1HV%2CB079W561LM%2CB07MFVD3LJ%2CB076CHSL6P%2CB09CNL3HZR%2CB07RB1BZW8%2CB07CXXHLY2%2CB08353R4CD%2CB08KFPNF79%2CB07M7N3TPK%2CB08NXHW761%2CB00W062CB2%2CB07CQN23VG%2CB07DDL7DNS%2CB08Z78PMJY%2CB01J3VFCWM%2CB09G72R3LF,539
4,ADRO,Men's Regular Fit T-Shirt,"1,642","Save ₹1,300 (72%)",Tshirts,4.5728794864669435,https://m.media-amazon.com/images/I/61aJ8ylbEYL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727042_AMKP317G04237_Green_Large/dp/B06Y2BZJN6/ref=sr_1_1?pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7ad3f8fa-3670-4f37-8514-6e5bf1c9ad3e&pf_rd_r=E6PP7PBNCKCV9PKR323W&pf_rd_s=merchandised-search-3&qid=1636354929&qsid=257-0103414-9138774&refinements=p_85%3A10440599031%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1&sres=B06Y2BZJN6%2CB082G3S7GC%2CB012STPJMY%2CB09H7JP1HV%2CB079W561LM%2CB07MFVD3LJ%2CB076CHSL6P%2CB09CNL3HZR%2CB07RB1BZW8%2CB07CXXHLY2%2CB08353R4CD%2CB08KFPNF79%2CB07M7N3TPK%2CB08NXHW761%2CB00W062CB2%2CB07CQN23VG%2CB07DDL7DNS%2CB08Z78PMJY%2CB01J3VFCWM%2CB09G72R3LF,539
5,CHKOKKO,Winter Wear Cotton Plain Full Sleeve Turtle Neck T Shirt for Men,"2,355","Save ₹2,138 (77%)",Tshirts,3.0325836142041607,https://m.media-amazon.com/images/I/61aJ8ylbEYL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727042_AMKP317G04237_Green_Large/dp/B06Y2BZJN6/ref=sr_1_1?pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7ad3f8fa-3670-4f37-8514-6e5bf1c9ad3e&pf_rd_r=E6PP7PBNCKCV9PKR323W&pf_rd_s=merchandised-search-3&qid=1636354929&qsid=257-0103414-9138774&refinements=p_85%3A10440599031%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1&sres=B06Y2BZJN6%2CB082G3S7GC%2CB012STPJMY%2CB09H7JP1HV%2CB079W561LM%2CB07MFVD3LJ%2CB076CHSL6P%2CB09CNL3HZR%2CB07RB1BZW8%2CB07CXXHLY2%2CB08353R4CD%2CB08KFPNF79%2CB07M7N3TPK%2CB08NXHW761%2CB00W062CB2%2CB07CQN23VG%2CB07DDL7DNS%2CB08Z78PMJY%2CB01J3VFCWM%2CB09G72R3LF,539
6,Van Heusen,Men's Solid Regular Fit Polo,"16,942",Save ₹360 (40%),Tshirts,4.99940683638259,https://m.media-amazon.com/images/I/61aJ8ylbEYL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727042_AMKP317G04237_Green_Large/dp/B06Y2BZJN6/ref=sr_1_1?pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7ad3f8fa-3670-4f37-8514-6e5bf1c9ad3e&pf_rd_r=E6PP7PBNCKCV9PKR323W&pf_rd_s=merchandised-search-3&qid=1636354929&qsid=257-0103414-9138774&refinements=p_85%3A10440599031%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1&sres=B06Y2BZJN6%2CB082G3S7GC%2CB012STPJMY%2CB09H7JP1HV%2CB079W561LM%2CB07MFVD3LJ%2CB076CHSL6P%2CB09CNL3HZR%2CB07RB1BZW8%2CB07CXXHLY2%2CB08353R4CD%2CB08KFPNF79%2CB07M7N3TPK%2CB08NXHW761%2CB00W062CB2%2CB07CQN23VG%2CB07DDL7DNS%2CB08Z78PMJY%2CB01J3VFCWM%2CB09G72R3LF,539
7,NORTHWIND,Men's High and Turtle Neck Cotton T-Shirt,26,Save ₹774 (52%),Tshirts,4.722461492330307,https://m.media-amazon.com/images/I/61aJ8ylbEYL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727042_AMKP317G04237_Green_Large/dp/B06Y2BZJN6/ref=sr_1_1?pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7ad3f8fa-3670-4f37-8514-6e5bf1c9ad3e&pf_rd_r=E6PP7PBNCKCV9PKR323W&pf_rd_s=merchandised-search-3&qid=1636354929&qsid=257-0103414-9138774&refinements=p_85%3A10440599031%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1&sres=B06Y2BZJN6%2CB082G3S7GC%2CB012STPJMY%2CB09H7JP1HV%2CB079W561LM%2CB07MFVD3LJ%2CB076CHSL6P%2CB09CNL3HZR%2CB07RB1BZW8%2CB07CXXHLY2%2CB08353R4CD%2CB08KFPNF79%2CB07M7N3TPK%2CB08NXHW761%2CB00W062CB2%2CB07CQN23VG%2CB07DDL7DNS%2CB08Z78PMJY%2CB01J3VFCWM%2CB09G72R3LF,539
8,Van Heusen Athleisure,Men's Regular fit T-Shirt,"2,125","2,125",Tshirts,4.057477983478748,https://m.media-amazon.com/images/I/61aJ8ylbEYL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727042_AMKP317G04237_Green_Large/dp/B06Y2BZJN6/ref=sr_1_1?pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7ad3f8fa-3670-4f37-8514-6e5bf1c9ad3e&pf_rd_r=E6PP7PBNCKCV9PKR323W&pf_rd_s=merchandised-search-3&qid=1636354929&qsid=257-0103414-9138774&refinements=p_85%3A10440599031%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1&sres=B06Y2BZJN6%2CB082G3S7GC%2CB012STPJMY%2CB09H7JP1HV%2CB079W561LM%2CB07MFVD3LJ%2CB076CHSL6P%2CB09CNL3HZR%2CB07RB1BZW8%2CB07CXXHLY2%2CB08353R4CD%2CB08KFPNF79%2CB07M7N3TPK%2CB08NXHW761%2CB00W062CB2%2CB07CQN23VG%2CB07DDL7DNS%2CB08Z78PMJY%2CB01J3VFCWM%2CB09G72R3LF,539
9,US Polo Association,U.S. Polo Assn. Men's Regular fit T-Shirt,"4,439",Save ₹143 (24%),Tshirts,4.278986263754877,https://m.media-amazon.com/images/I/61aJ8ylbEYL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727042_AMKP317G04237_Green_Large/dp/B06Y2BZJN6/ref=sr_1_1?pf_rd_i=1968024031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7ad3f8fa-3670-4f37-8514-6e5bf1c9ad3e&pf_rd_r=E6PP7PBNCKCV9PKR323W&pf_rd_s=merchandised-search-3&qid=1636354929&qsid=257-0103414-9138774&refinements=p_85%3A10440599031%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-1&sres=B06Y2BZJN6%2CB082G3S7GC%2CB012STPJMY%2CB09H7JP1HV%2CB079W561LM%2CB07MFVD3LJ%2CB076CHSL6P%2CB09CNL3HZR%2CB07RB1BZW8%2CB07CXXHLY2%2CB08353R4CD%2CB08KFPNF79%2CB07M7N3TPK%2CB08NXHW761%2CB00W062CB2%2CB07CQN23VG%2CB07DDL7DNS%2CB08Z78PMJY%2CB01J3VFCWM%2CB09G72R3LF,539
